QPRtot,Date
5.503875969,Jan-2013
2.674418605,Feb-2013
7.023255814,Mar-2013
2.058139535,Apr-2013
0.910852713,May-2013
0.139534884,Jun-2013
0.612403101,Jul-2013
0.0,Aug-2013
1.945736434,Sep-2013
5.763565891,Oct-2013
0.430232558,Nov-2013
6.263565891,Dec-2013
6.240310078,Jan-2014
5.852713178,Feb-2014
1.744186047,Mar-2014
2.356589147,Apr-2014
1.26744186,May-2014
0.779069767,Jun-2014
1.313953488,Jul-2014
0.139534884,Aug-2014
3.430232558,Sep-2014
5.042635659,Oct-2014
6.643410853,Nov-2014
1.484496124,Dec-2014
10.0,Jan-2016
5.30620155,Feb-2016
2.313953488,Mar-2016
6.794573643,Apr-2016
4.054263566,May-2016
0.329457364,Jun-2016
0.019379845,Jul-2016
0.391472868,Aug-2016
0.841085271,Sep-2016
2.53875969,Oct-2016
3.213178295,Nov-2016
1.833333333,Dec-2016
1.794573643,Jan-2017
6.705426357,Feb-2017
1.899224806,Mar-2017
0.61627907,Apr-2017
2.88372093,May-2017
0.224806202,Jun-2017
0.255813953,Jul-2017
0.205426357,Aug-2017
0.0,Sep-2017
0.666666667,Oct-2017
1.755813953,Nov-2017
4.503875969,Dec-2017
2.100775194,Jan-2018
2.0,Feb-2018
9.294573643,Mar-2018
3.480620155,Apr-2018
1.46124031,May-2018
4.600775194,Jun-2018
0.434108527,Jul-2018
0.0,Aug-2018
0.80620155,Sep-2018
1.810077519,Oct-2018
7.631782946,Nov-2018
2.139534884,Dec-2018
1.608527132,Jan-2019
0.914728682,Feb-2019
1.089147287,Mar-2019
4.015503876,Apr-2019
0.356589147,May-2019
1.217054264,Jun-2019
0.313953488,Jul-2019
0.813953488,Aug-2019
0.651162791,Sep-2019
2.92248062,Oct-2019
4.453488372,Nov-2019
8.290697674,Dec-2019
2.523255814,Jan-2020
0.220930233,Feb-2020
3.751937984,Mar-2020
4.926356589,Apr-2020
1.26744186,May-2020
0.186046512,Jun-2020
0.868217054,Jul-2020
3.135658915,Aug-2020
2.166666667,Sep-2020
4.321705426,Oct-2020
4.635658915,Nov-2020
2.96124031,Dec-2020
